id,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12
101,59,84,34,47,97,72,21,15,66,91,40,28,54,28,79,41,92,16,66,35,85,10,60,22
102,78,53,2,2,52,77,27,39,90,65,14,21,73,47,98,32,83,7,58,20,70,45,96,1
103,71,96,46,33,84,58,8,11,62,87,36,49,51,26,77,39,89,13,64,17,67,42,92,29
104,99,74,24,17,68,93,43,30,81,55,5,3,80,4,54,48,99,23,73,10,61,36,86,9
105,54,79,28,41,92,66,16,22,73,98,47,35,59,34,84,47,97,21,72,28,78,2,53,15
106,85,60,10,6,57,82,32,44,95,69,19,13,66,40,91,43,94,18,69,6,56,31,81,25
107,63,88,38,25,76,51,0,0,51,76,25,38,75,50,100,37,88,12,62,12,63,37,88,50
108,89,63,13,19,70,95,44,32,82,57,7,10,100,25,75,31,82,6,56,18,69,44,94,40
109,60,85,35,48,98,73,22,16,67,92,41,29,91,15,66,3,53,28,78,22,72,47,97,34
110,79,54,3,5,55,81,30,43,93,68,18,24,85,9,59,36,86,11,61,23,74,48,99,4
111,74,100,49,37,87,62,11,8,59,84,33,46,55,29,80,42,93,17,67,14,64,39,89,26
112,96,71,21,14,65,90,40,27,78,52,2,3,77,1,52,45,96,20,70,7,58,33,83,48
113,53,78,28,40,91,66,15,22,72,97,47,34,98,22,73,10,60,35,85,16,67,41,92,29
114,85,59,9,12,63,88,37,50,100,75,25,18,79,3,54,0,51,25,76,38,89,13,63,32
115,69,94,44,31,82,56,6,4,55,80,29,42,82,7,57,19,70,44,95,24,74,49,100,37
116,93,67,17,23,74,99,48,36,86,61,11,7,87,11,62,43,93,18,68,5,55,30,81,27
117,58,83,33,45,96,70,20,14,64,89,39,26,78,2,52,14,65,40,90,8,59,33,84,46
118,77,52,1,1,51,76,26,39,89,64,13,20,96,21,71,29,80,4,54,16,67,42,92,10
119,70,95,45,32,83,57,7,10,61,86,35,48,61,35,86,48,98,23,73,20,70,45,95,32
120,98,73,23,16,67,92,42,29,80,54,4,5,83,7,57,39,89,13,64,1,51,26,76,5
121,56,81,31,43,94,68,18,24,75,100,50,37,56,31,81,43,94,18,68,37,87,12,62,24
122,87,62,12,9,59,84,34,46,97,72,21,15,75,50,100,46,97,21,72,9,59,34,84,15
123,65,91,40,27,78,53,2,1,52,77,27,39,65,40,91,27,78,2,53,17,68,42,93,30
124,90,65,14,20,71,96,46,33,83,58,8,11,80,5,55,49,99,24,74,11,61,36,87,33
125,61,87,36,49,99,74,24,17,68,93,42,30,83,8,58,20,71,46,96,1,52,27,77,39
126,80,55,5,3,54,79,28,41,91,66,16,22,90,14,65,41,91,16,66,3,54,28,79,22
127,72,98,47,35,85,60,9,6,57,82,31,44,72,47,98,35,85,9,60,6,57,31,82,44
128,95,69,19,12,63,88,38,25,76,50,0,0,95,19,69,25,76,0,50,12,63,38,88,12
129,50,75,25,38,88,63,12,19,69,94,44,31,63,37,88,25,75,0,50,44,94,18,69,6
130,82,57,6,9,60,85,34,47,98,72,22,16,56,31,82,34,85,9,60,22,72,47,97,3
131,66,91,41,28,79,53,3,4,55,80,30,42,53,28,78,41,91,15,66,39,89,14,64,1
132,93,68,17,23,74,99,49,36,87,61,11,8,52,26,77,20,71,45,96,33,83,7,58,11
133,58,83,33,46,96,71,20,14,64,90,39,27,61,36,86,48,99,23,74,30,80,4,55,17
134,77,52,1,2,53,78,27,40,90,65,15,21,67,42,93,27,78,2,52,15,65,40,90,8
135,72,97,46,34,84,59,8,12,62,87,37,49,59,33,84,46,97,21,71,24,75,49,100,37
136,100,75,24,18,68,94,43,31,81,56,5,4,87,11,62,43,93,18,68,5,56,30,81,0
137,54,79,29,42,92,67,16,23,73,98,48,35,51,26,76,38,89,13,63,32,82,7,57,19
138,86,61,10,7,57,83,32,45,95,70,19,13,70,45,95,48,98,22,73,10,60,35,86,16
139,64,89,38,26,76,51,1,1,51,77,26,39,67,41,92,29,79,4,54,46,96,20,71,8
140,89,64,14,20,70,96,45,32,83,58,7,10,58,33,84,14,65,39,90,27,77,2,52,5
141,61,86,36,48,99,74,23,17,67,92,42,29,55,30,80,43,93,17,68,36,87,11,61,24
142,80,55,4,6,56,81,31,44,94,69,18,25,74,49,99,19,69,44,95,32,82,6,57,38
143,75,100,50,37,88,62,12,9,59,85,34,47,88,13,63,0,50,25,76,28,79,3,54,16
144,97,72,21,15,66,91,40,28,78,53,3,2,66,41,91,9,60,35,85,47,98,22,73,7
145,52,77,27,40,90,65,14,21,71,96,46,33,58,32,83,45,95,20,70,26,76,1,51,13
146,84,59,8,11,62,87,36,49,100,74,24,18,64,39,89,42,92,17,67,4,54,29,80,23
147,68,93,43,30,81,55,5,3,54,79,29,41,73,48,99,35,86,10,61,34,84,9,59,21
148,92,66,16,22,73,98,47,35,85,60,10,6,72,46,97,2,53,28,78,40,91,15,65,18
149,57,82,32,44,95,70,19,13,63,89,38,25,69,43,94,31,81,5,56,50,100,24,75,12
150,76,51,0,0,50,76,25,38,88,63,13,19,62,37,88,37,88,12,62,25,75,50,100,6
151,69,95,44,32,82,57,6,9,60,85,35,47,56,31,81,44,94,18,69,15,66,40,91,28
152,98,73,22,16,66,91,41,28,79,54,3,5,78,3,53,47,97,21,72,9,59,34,85,10
153,55,80,30,43,93,68,17,24,74,99,49,36,61,36,86,48,99,23,74,29,80,4,55,17
154,87,61,11,8,58,84,33,46,96,71,20,14,67,42,92,39,89,14,64,1,51,26,77,20
155,65,90,39,27,77,52,2,2,53,78,28,40,70,45,96,32,83,7,58,22,73,47,98,35
156,91,65,15,21,72,97,46,34,84,59,9,12,85,10,60,41,92,16,66,3,54,29,79,25
157,62,88,37,50,100,75,24,18,69,94,43,31,76,0,51,13,63,38,89,6,57,32,82,44
158,81,56,5,4,54,80,29,42,92,67,17,23,95,19,70,49,100,24,74,11,62,36,87,18
159,73,99,48,35,86,61,10,7,58,83,32,45,68,43,93,30,81,5,55,2,52,27,77,40
160,95,70,20,13,64,89,39,26,76,51,1,0,90,14,65,33,84,8,59,21,71,46,96,4
161,51,76,26,38,89,63,13,19,70,95,45,32,54,29,79,42,92,16,67,35,86,10,61,23
162,82,57,7,10,60,86,35,48,98,73,22,16,73,48,98,45,95,19,70,7,57,32,83,13
163,67,92,41,29,79,54,4,5,56,81,30,43,64,38,89,26,76,1,51,31,81,5,56,18
164,93,68,18,24,75,100,49,37,87,62,11,8,68,43,94,12,62,37,87,49,100,24,75,21
165,59,84,33,46,97,71,21,15,65,90,40,27,72,46,97,34,84,8,59,40,90,15,65,2
166,78,52,2,1,52,77,26,39,89,64,14,20,53,27,78,42,93,17,68,4,55,30,80,23
167,71,96,45,33,83,58,7,11,61,86,36,48,74,49,99,36,87,11,61,8,58,33,83,46
168,99,74,23,17,67,93,42,30,80,55,4,3,96,20,71,27,77,1,52,14,64,39,90,16
169,53,78,28,41,91,66,15,22,72,97,47,34,66,41,91,28,79,3,53,47,98,22,72,9
170,85,60,9,6,56,82,31,44,94,69,18,12,60,34,85,31,82,6,57,19,69,44,94,0
171,63,88,37,25,75,50,0,0,50,75,25,37,50,25,75,38,88,12,63,31,82,6,56,19
172,88,63,12,19,69,94,44,31,82,56,6,9,69,44,94,0,50,25,75,38,88,12,63,15
173,60,85,34,47,97,72,22,15,66,91,41,28,66,41,91,28,79,3,53,47,97,22,72,9
174,78,53,3,4,55,80,30,42,93,67,17,23,60,34,85,8,58,33,83,45,96,20,71,26
175,74,99,48,36,86,61,11,7,58,83,33,45,77,1,52,14,64,39,90,42,93,17,67,4
176,96,71,20,14,64,90,39,26,77,52,1,2,55,30,80,23,74,49,99,36,86,11,61,21
177,52,78,27,40,90,65,15,21,71,97,46,34,71,46,97,34,84,8,59,40,90,15,65,2
178,84,59,8,11,62,87,37,49,100,75,24,18,52,27,78,30,81,5,56,18,68,43,94,11
179,68,93,43,30,81,56,5,4,54,79,29,41,62,37,87,49,100,24,75,45,95,19,70,7
180,92,67,16,22,73,98,48,35,86,60,10,7,57,32,82,13,64,38,89,26,76,0,51,4
181,57,82,32,45,95,70,19,13,63,89,38,26,54,29,79,41,92,16,67,35,86,10,60,23
182,76,51,0,1,51,77,26,39,89,64,13,20,73,48,98,2,52,27,77,39,90,14,65,33
183,70,95,45,32,83,58,7,10,61,86,35,48,84,8,58,21,71,46,96,49,99,24,74,11
184,99,73,23,17,67,92,42,29,80,54,4,6,62,36,87,17,68,43,93,30,80,5,55,25
185,56,81,31,43,94,69,18,24,75,100,50,37,76,0,51,13,63,38,88,6,57,32,82,44
186,88,62,12,9,59,84,34,47,97,72,21,15,95,19,69,22,73,47,98,35,85,9,60,41
187,65,91,40,28,78,53,2,2,52,77,27,39,92,16,66,3,54,28,79,39,89,13,64,1
188,90,65,14,20,71,96,46,33,84,58,8,11,51,26,77,20,70,45,95,32,83,7,58,10
189,62,87,36,49,99,74,24,17,68,93,43,30,61,36,86,48,99,23,73,29,80,4,54,17
190,80,55,5,3,54,79,28,41,91,66,16,22,67,42,92,15,66,40,91,28,78,2,53,47
191,73,98,47,35,85,60,9,6,57,82,32,44,97,21,72,9,59,34,84,37,88,12,62,24
192,95,69,19,13,63,88,38,25,76,50,0,0,75,50,100,6,56,31,81,43,94,18,69,18
193,51,76,25,38,89,63,13,19,70,95,44,32,69,44,94,31,81,6,56,50,100,25,75,12
194,82,57,6,10,60,85,35,48,98,73,22,16,63,37,88,34,85,9,59,22,72,47,97,3
195,66,92,41,29,79,54,3,5,55,81,30,43,53,28,78,40,91,15,66,42,93,17,67,4
196,93,68,18,24,74,100,49,36,87,62,11,8,55,29,80,23,74,48,99,36,86,10,61,7
197,59,84,33,46,96,71,21,14,65,90,40,27,58,33,83,45,96,20,70,26,77,1,52,14
198,77,52,2,3,53,78,28,40,91,66,15,21,64,39,89,29,79,3,54,16,66,41,92,10
199,72,97,47,34,85,59,9,12,62,88,37,50,60,35,85,48,98,22,73,19,70,44,95,32
200,100,75,25,18,69,94,44,31,81,56,6,4,82,7,57,38,89,13,63,0,51,25,76,5
201,55,80,29,42,92,67,17,23,74,99,48,36,55,30,81,43,93,18,68,37,87,11,62,24
202,86,61,10,7,58,83,33,45,96,70,20,14,74,49,100,46,96,21,71,8,59,33,84,14
203,64,89,39,26,77,51,1,1,51,76,26,38,65,40,90,27,78,2,52,48,98,23,73,10
204,89,64,13,20,70,95,45,32,83,57,7,10,61,35,86,16,67,42,92,29,80,4,54,1
205,61,86,35,48,98,73,23,16,67,92,42,29,51,26,76,38,89,13,64,32,83,7,57,20
206,79,54,4,5,56,81,31,43,94,68,18,24,70,45,95,24,75,50,100,37,87,12,62,43
207,75,100,49,37,87,62,12,8,59,84,34,46,94,18,68,5,56,31,81,27,78,2,53,15
208,97,72,21,15,65,91,40,27,78,53,2,1,65,40,91,9,59,34,84,46,97,21,72,11
209,52,77,27,39,90,64,14,20,71,96,46,33,61,36,87,49,99,23,74,30,80,5,55,17
210,83,58,8,11,61,87,36,49,99,74,23,17,68,42,93,39,90,14,65,1,52,27,77,20
211,68,93,42,30,80,55,5,3,53,79,28,41,71,46,96,33,83,8,58,35,85,9,60,22
212,91,66,16,22,72,98,47,34,85,60,9,6,72,47,98,3,53,28,79,41,91,16,66,12
213,57,82,31,44,94,69,19,12,63,88,38,25,63,38,88,25,76,0,50,44,94,19,69,6
214,76,50,0,0,50,76,25,38,88,63,13,19,57,31,82,6,56,31,82,44,94,18,69,25
215,69,95,44,31,82,57,6,9,60,85,35,47,75,0,50,12,63,37,88,41,91,15,66,3
216,98,72,22,16,66,91,41,28,79,54,3,5,53,28,78,22,72,47,97,34,85,9,59,33
217,55,80,30,42,93,68,17,24,74,99,49,36,83,7,58,20,71,45,96,1,52,26,77,39
218,87,61,11,8,58,84,33,46,96,71,20,14,89,14,64,17,67,42,93,30,80,4,55,48
219,65,90,39,27,77,52,1,2,53,78,27,40,99,23,74,11,61,36,86,46,97,21,71,8
220,91,65,15,21,72,97,46,34,84,59,9,12,59,33,84,15,65,40,90,27,78,2,52,5
221,62,87,37,50,100,75,24,18,69,94,43,31,56,30,81,43,93,18,68,37,87,11,62,24
222,81,56,5,4,54,80,29,42,92,67,16,23,74,49,100,19,70,45,95,32,82,7,57,38
223,73,98,48,35,86,61,10,7,57,83,32,45,89,13,63,0,51,26,76,29,79,3,54,16
224,95,70,20,13,64,89,39,26,76,51,1,1,67,41,92,10,60,35,86,48,98,22,73,27
225,52,77,26,39,89,64,14,20,70,96,45,33,77,2,52,14,65,39,90,8,58,33,84,46
226,83,58,7,11,61,86,36,48,99,74,23,17,96,20,71,24,74,49,99,36,87,11,61,43
227,67,93,42,29,80,55,4,6,56,82,31,44,93,17,68,5,55,30,80,0,50,25,76,38
228,94,69,18,25,75,100,50,37,88,63,12,9,88,13,63,31,82,6,57,19,69,44,95,47
229,59,85,34,47,97,72,22,15,66,91,41,28,98,22,73,9,60,35,85,16,66,41,91,28
230,78,53,3,2,52,78,27,40,90,65,14,21,79,3,54,13,64,39,89,26,76,1,51,45
231,71,97,46,33,84,59,8,11,62,87,37,49,95,20,70,7,58,32,83,35,86,10,61,23
232,100,74,24,18,68,93,43,30,81,55,5,3,73,48,99,4,54,29,80,42,92,16,67,40
233,54,79,29,41,92,67,16,22,73,98,48,35,91,15,65,2,53,28,78,21,72,46,97,34
234,85,60,10,7,57,82,32,44,95,70,19,13,84,9,59,12,62,37,87,50,100,24,75,31
235,63,89,38,26,76,51,0,0,51,76,25,38,81,5,56,18,69,43,94,44,94,18,69,6
236,88,63,13,19,70,95,44,32,82,57,6,10,56,31,81,25,75,50,100,37,88,12,62,9
237,60,85,35,47,98,73,22,16,66,92,41,28,59,34,85,47,97,21,72,28,78,2,53,15
238,79,54,3,5,55,81,30,43,93,68,17,24,66,40,91,17,67,42,92,29,80,4,55,48
239,74,99,49,36,87,62,11,8,58,84,33,46,99,23,73,10,61,36,86,32,83,7,58,20
240,96,71,21,14,65,90,40,27,77,52,2,2,70,45,96,1,51,26,77,39,89,14,64,3
241,53,78,28,40,91,66,15,21,72,97,47,34,54,29,79,41,92,16,66,35,85,10,60,22
242,84,59,9,12,62,88,37,50,100,75,25,18,73,47,98,44,95,19,70,6,57,32,82,13
243,69,94,43,31,81,56,6,4,55,80,29,42,63,38,88,25,76,0,51,30,81,5,55,17
244,92,67,17,23,73,99,48,36,86,61,10,7,68,43,93,11,62,36,87,49,100,24,74,21
245,58,83,32,45,96,70,20,13,64,89,39,26,71,46,96,33,84,8,59,40,90,14,65,2
246,77,51,1,0,51,76,26,38,89,64,13,19,52,27,77,23,73,48,98,35,86,10,60,42
247,70,95,45,32,83,57,7,10,60,86,35,48,92,16,67,4,54,29,79,26,76,1,51,13
248,98,73,23,16,67,92,41,29,79,54,4,5,64,38,89,7,57,32,83,45,95,19,70,49
249,56,81,30,43,94,68,18,24,75,100,49,37,100,24,75,12,62,37,87,18,68,43,94,30
250,87,62,12,8,59,84,34,46,97,71,21,15,81,5,56,2,53,27,78,40,90,15,65,34
251,65,90,40,27,78,53,2,1,52,77,27,39,84,8,59,21,72,46,97,36,87,11,61,23
252,90,64,14,20,71,96,45,33,83,58,8,11,74,49,99,4,55,30,80,42,93,17,68,14
253,61,86,36,49,99,74,23,17,68,93,42,30,64,39,90,27,77,1,52,45,96,20,71,8
254,80,55,4,3,53,79,28,41,91,66,15,22,58,33,83,9,60,34,85,47,98,22,72,28
255,72,98,47,34,85,60,9,6,56,82,31,44,79,3,53,16,66,41,91,38,88,12,63,0
256,94,69,19,12,63,88,38,25,75,50,0,0,50,25,75,19,69,44,94,31,82,6,57,19
257,50,75,25,38,88,63,12,19,69,94,44,31,69,44,94,31,82,6,56,37,88,12,63,0
258,82,56,6,9,60,85,34,47,97,72,22,15,50,25,75,28,78,3,53,15,66,41,91,9
259,66,91,41,28,79,53,3,4,55,80,30,42,60,34,85,47,97,22,72,45,96,20,71,7
260,93,67,17,23,74,99,49,36,86,61,11,8,58,33,83,14,64,39,90,26,77,1,52,4
261,58,83,33,45,96,71,20,14,64,90,39,26,55,30,80,42,93,17,67,36,86,11,61,23
262,77,52,1,2,52,78,27,40,90,65,15,21,74,48,99,34,84,8,59,21,71,46,97,2
263,71,97,46,34,84,59,8,11,62,87,37,49,52,27,78,40,90,15,65,18,68,43,93,30
264,100,75,24,18,68,94,43,30,81,56,5,4,81,5,56,49,100,24,75,11,62,37,87,7
265,54,79,29,41,92,67,16,23,73,98,48,35,57,32,82,45,95,19,70,26,76,0,51,13
266,86,60,10,7,57,82,32,45,95,70,19,13,63,38,89,41,92,16,67,4,54,29,79,22
267,64,89,38,26,76,51,0,1,51,77,26,39,73,48,98,35,86,10,60,39,90,14,65,2
268,89,64,13,20,70,95,45,32,83,58,7,10,52,27,77,20,71,46,96,33,84,8,58,11
269,61,86,36,48,99,73,23,17,67,92,42,29,62,36,87,49,99,24,74,30,80,5,55,17
270,80,54,4,6,56,81,31,43,94,69,18,24,68,43,93,13,63,38,88,25,76,0,50,44
271,75,100,50,37,88,62,12,9,59,84,34,47,95,19,69,6,57,32,82,35,85,9,60,22
272,97,72,21,15,66,91,40,28,78,53,2,2,73,47,98,3,54,28,79,41,91,16,66,1
273,52,77,27,39,90,65,14,21,71,96,46,33,51,26,77,39,89,13,64,32,83,7,58,20
274,84,58,8,11,62,87,36,49,99,74,24,17,70,45,95,48,99,23,73,10,61,35,86,17
275,68,93,43,30,80,55,5,3,54,79,28,41,67,42,92,29,80,4,54,28,78,2,53,15
276,92,66,16,22,73,98,47,35,85,60,9,6,65,40,91,9,59,34,84,47,97,21,72,24
