id,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10
44,12,8,59,84,34,46,97,71,21,15,62,8,59,34,84,46,97,21,71,27
45,65,90,40,27,78,53,2,1,52,77,78,2,53,15,65,40,90,30,80,4
46,27,39,90,64,14,20,71,96,45,33,55,17,68,42,93,11,61,36,86,49
47,83,58,8,11,61,86,36,49,99,74,99,23,74,20,71,45,96,33,83,8
48,23,17,68,93,42,30,80,55,4,3,58,39,90,14,64,1,52,27,77,3
49,53,79,28,41,91,66,15,22,72,98,53,28,79,41,91,15,66,34,85,9
50,47,34,85,60,9,6,57,82,31,44,60,22,72,47,98,44,94,19,69,6
51,94,69,19,12,63,88,38,25,75,50,57,31,82,12,63,38,88,25,75,0
52,0,0,50,76,25,38,88,63,12,19,50,25,75,0,50,12,63,37,88,6
53,69,94,44,31,82,57,6,9,60,85,56,31,82,44,94,19,69,22,72,47
54,35,47,98,72,22,16,66,91,41,28,97,34,85,9,60,41,91,15,66,3
55,79,53,3,5,55,80,30,42,93,68,53,28,78,1,52,26,77,39,90,14
56,17,23,74,99,49,36,87,61,11,8,64,33,83,7,58,20,71,45,96,49
57,58,83,33,46,96,71,20,14,64,90,99,23,74,11,61,36,86,17,67,42
58,39,27,77,52,1,2,53,78,27,40,93,30,80,4,55,15,65,40,90,27
59,91,65,15,21,72,97,46,34,84,59,78,2,52,46,97,21,71,8,59,34
60,8,12,62,87,37,50,100,75,24,18,84,37,87,11,62,24,75,49,100,5
61,68,94,43,31,81,56,5,4,54,79,56,30,81,43,93,18,68,38,89,13
62,29,42,92,67,16,23,73,98,48,35,64,0,51,26,76,19,70,45,95,32
63,86,61,10,7,57,83,32,45,95,70,82,7,57,10,60,35,86,48,98,22
64,20,13,64,89,38,26,76,51,1,1,73,29,79,4,54,16,67,41,92,8
65,51,77,26,39,89,64,14,20,70,96,58,33,84,46,96,21,71,27,77,2
66,45,33,83,58,7,10,61,86,36,48,52,14,65,39,90,43,93,17,68,5
67,99,74,23,17,67,93,42,29,80,55,55,30,80,24,74,49,99,36,87,11
68,4,6,56,81,31,44,94,69,18,25,62,32,82,6,57,19,69,44,95,0
69,75,100,50,37,88,63,12,9,59,85,50,25,76,38,88,13,63,16,66,41
70,34,47,97,72,22,15,66,91,40,28,92,28,79,3,54,47,98,22,73,9
71,78,53,3,2,52,78,27,40,90,65,60,35,85,45,95,20,70,7,58,32
72,14,21,71,96,46,33,84,59,8,11,83,13,64,39,89,26,77,1,51,4
73,62,87,36,49,100,74,24,18,68,93,54,29,80,42,92,17,67,36,86,10
74,43,30,81,55,5,3,54,79,29,41,61,23,73,48,99,21,72,47,97,34
75,92,66,16,22,73,98,48,35,85,60,84,9,59,40,91,15,65,2,53,28
76,10,7,57,82,32,44,95,70,19,13,78,31,81,6,56,18,69,43,94,12
77,63,89,38,25,76,51,0,0,50,76,62,37,88,50,100,24,75,25,75,50
78,25,38,88,63,13,19,69,95,44,32,100,37,88,12,63,44,94,18,69,6
79,82,57,6,9,60,85,35,47,98,73,56,31,81,28,78,3,53,15,66,40
80,22,16,66,92,41,28,79,54,3,5,91,9,59,34,85,47,97,22,72,48
81,55,80,30,43,93,68,17,24,74,99,99,23,74,10,61,36,86,17,67,42
82,49,36,87,62,11,8,58,84,33,46,93,29,80,4,55,1,51,26,77,39
83,96,71,21,14,65,90,39,27,77,52,89,14,64,33,83,7,58,20,70,45
84,2,2,53,78,28,40,91,65,15,21,96,35,85,10,60,22,73,48,98,3
85,72,97,47,34,84,59,9,12,62,88,54,29,79,41,92,16,66,13,63,38
86,37,50,100,75,24,18,69,94,43,31,89,25,76,0,51,44,95,19,70,7
87,81,56,6,4,54,80,29,42,92,67,57,32,82,11,62,36,87,49,100,24
88,17,23,73,99,48,36,86,61,10,7,74,30,81,5,55,18,68,43,93,40
89,58,83,32,45,95,70,20,13,64,89,90,14,65,2,52,27,78,21,71,46
90,39,26,77,51,1,0,51,76,26,38,96,33,84,8,59,42,92,16,67,4
91,89,64,13,19,70,95,45,32,82,57,54,29,79,23,73,48,98,35,86,10
92,7,10,60,86,35,48,98,73,22,16,61,7,57,32,83,45,95,20,70,26
93,67,92,41,29,79,54,4,5,56,81,76,1,51,13,64,38,89,18,68,43
94,30,43,93,68,18,24,75,100,49,37,94,31,81,5,56,50,100,24,75,12
95,87,62,11,8,59,84,34,46,97,71,62,37,87,34,84,8,59,21,72,46
96,21,15,65,90,40,27,78,52,2,1,97,2,53,27,78,40,91,15,65,5
97,52,77,26,39,90,64,14,20,71,96,55,30,80,42,93,17,68,36,87,11
98,45,33,83,58,7,11,61,86,36,49,61,23,74,49,99,46,96,20,71,8
99,99,74,23,17,67,93,42,30,80,55,58,33,83,14,64,39,90,27,77,1
100,4,3,53,78,28,41,91,66,15,22,52,28,79,3,53,16,66,41,91,9
101,72,97,47,34,85,60,9,6,56,82,60,35,85,47,98,22,72,19,69,44
102,31,44,94,69,19,12,63,88,37,25,94,31,82,6,57,38,88,12,63,0
103,75,50,0,0,50,75,25,38,88,63,50,25,76,38,88,12,63,0,50,25
104,12,19,69,94,44,31,82,56,6,9,75,19,69,44,94,31,82,6,56,9
105,60,85,34,47,97,72,22,15,66,91,60,34,85,47,97,22,72,28,79,3
106,41,28,79,53,3,4,55,80,30,42,53,15,66,41,91,14,64,39,90,26
107,93,68,17,23,74,99,49,36,86,61,77,1,52,45,96,20,71,8,58,33
108,11,8,58,83,33,45,96,71,20,14,83,36,86,11,61,23,74,49,99,4
109,64,90,39,26,77,52,1,2,53,78,55,30,80,42,93,17,68,2,53,27
110,27,40,90,65,15,21,71,97,46,34,78,40,90,15,65,34,84,8,59,21
111,84,59,8,11,62,87,37,49,100,75,71,46,97,49,100,24,75,11,62,37
112,24,18,68,94,43,30,81,56,5,4,87,18,68,43,94,30,81,5,56,26
113,54,79,29,41,92,67,16,23,73,98,76,0,51,13,64,38,89,7,57,32
114,48,35,86,60,10,7,57,82,32,45,82,45,95,19,70,23,73,48,98,35
115,95,70,19,13,64,89,38,26,76,51,86,10,60,41,92,16,67,4,54,29
116,0,1,51,77,26,39,89,64,13,20,79,21,71,46,96,33,84,8,58,39
117,70,96,45,32,83,58,7,10,61,86,90,14,65,2,52,27,77,30,81,5
118,36,48,99,73,23,17,67,92,42,29,55,17,68,43,93,11,62,36,87,49
119,80,54,4,6,56,81,31,43,94,69,99,24,74,44,95,19,69,6,57,32
120,18,25,75,100,50,37,88,62,12,9,82,13,63,38,88,25,76,0,51,3
121,59,84,34,47,97,72,21,15,66,91,54,28,79,41,92,16,66,35,85,10
122,40,28,78,53,2,2,52,77,27,39,60,22,73,47,98,32,83,7,58,20
123,90,65,14,21,71,96,46,33,84,58,70,45,96,1,51,26,77,39,89,13
124,8,11,62,87,36,49,99,74,24,17,64,17,67,42,92,29,80,4,54,48
125,68,93,43,30,81,55,5,3,54,79,99,23,73,10,61,36,86,9,59,34
126,28,41,92,66,16,22,73,98,47,35,84,47,97,21,72,28,78,2,53,15
127,85,60,10,6,57,82,32,44,95,69,66,40,91,43,94,18,69,6,56,31
128,19,13,63,88,38,25,76,51,0,0,81,25,75,50,100,37,88,12,62,12
129,51,76,25,38,89,63,13,19,70,95,63,37,88,50,100,25,75,31,82,6
130,44,32,82,57,7,10,60,85,35,48,56,18,69,44,94,40,91,15,66,3
131,98,73,22,16,67,92,41,29,79,54,53,28,78,22,72,47,97,34,85,9
132,3,5,55,81,30,43,93,68,18,24,59,36,86,11,61,23,74,48,99,4
133,74,100,49,37,87,62,11,8,59,84,55,29,80,42,93,17,67,14,64,39
134,33,46,96,71,21,14,65,90,40,27,89,26,77,1,52,45,96,20,70,7
135,78,52,2,3,53,78,28,40,91,66,58,33,83,48,98,22,73,10,60,35
136,15,22,72,97,47,34,85,59,9,12,85,16,67,41,92,29,79,3,54,0
137,63,88,37,50,100,75,25,18,69,94,51,25,76,38,89,13,63,32,82,7
138,44,31,82,56,6,4,55,80,29,42,57,19,70,44,95,24,74,49,100,37
139,93,67,17,23,74,99,48,36,86,61,87,11,62,43,93,18,68,5,55,30
140,11,7,58,83,33,45,96,70,20,14,81,27,78,2,52,14,65,40,90,8
141,64,89,39,26,77,52,1,1,51,76,59,33,84,46,96,21,71,29,80,4
142,26,39,89,64,13,20,70,95,45,32,54,16,67,42,92,10,61,35,86,48
143,83,57,7,10,61,86,35,48,98,73,98,23,73,20,70,45,95,32,83,7
144,23,16,67,92,42,29,80,54,4,5,57,39,89,13,64,1,51,26,76,5
145,56,81,31,43,94,68,18,24,75,100,56,31,81,43,94,18,68,37,87,12
146,50,37,87,62,12,9,59,84,34,46,62,24,75,50,100,46,97,21,72,9
147,97,72,21,15,65,91,40,27,78,53,59,34,84,15,65,40,91,27,78,2
148,2,1,52,77,27,39,90,65,14,20,53,17,68,42,93,30,80,5,55,49
149,71,96,46,33,83,58,8,11,61,87,99,24,74,11,61,36,87,33,83,8
150,36,49,99,74,24,17,68,93,42,30,58,20,71,46,96,1,52,27,77,39
151,80,55,5,3,54,79,28,41,91,66,90,14,65,41,91,16,66,3,54,28
152,16,22,72,98,47,35,85,60,9,6,79,22,72,47,98,35,85,9,60,6
153,57,82,31,44,95,69,19,12,63,88,57,31,82,44,95,19,69,25,76,0
154,38,25,76,50,0,0,50,75,25,38,50,12,63,38,88,12,63,37,88,25
155,88,63,12,19,69,94,44,31,82,57,75,0,50,44,94,18,69,6,56,31
156,6,9,60,85,34,47,98,72,22,16,82,34,85,9,60,22,72,47,97,3
157,66,91,41,28,79,53,3,4,55,80,53,28,78,41,91,15,66,39,89,14
158,30,42,93,68,17,23,74,99,49,36,64,1,52,26,77,20,71,45,96,33
159,87,61,11,8,58,83,33,46,96,71,83,7,58,11,61,36,86,48,99,23
160,20,14,64,90,39,27,77,52,1,2,74,30,80,4,55,17,67,42,93,27
161,53,78,27,40,90,65,15,21,72,97,78,2,52,15,65,40,90,8,59,33
162,46,34,84,59,8,12,62,87,37,49,84,46,97,21,71,24,75,49,100,37
163,100,75,24,18,68,94,43,31,81,56,87,11,62,43,93,18,68,5,56,30
164,5,4,54,79,29,42,92,67,16,23,81,0,51,26,76,38,89,13,63,32
165,73,98,48,35,86,61,10,7,57,83,82,7,57,19,70,45,95,48,98,22
166,32,45,95,70,19,13,64,89,38,26,73,10,60,35,86,16,67,41,92,29
167,76,51,1,1,51,77,26,39,89,64,79,4,54,46,96,20,71,8,58,33
168,14,20,70,96,45,32,83,58,7,10,84,14,65,39,90,27,77,2,52,5
169,61,86,36,48,99,74,23,17,67,92,55,30,80,43,93,17,68,36,87,11
170,42,29,80,55,4,6,56,81,31,44,61,24,74,49,99,19,69,44,95,32
171,94,69,18,25,75,100,50,37,88,62,82,6,57,38,88,13,63,0,50,25
172,12,9,59,85,34,47,97,72,21,15,76,28,79,3,54,16,66,41,91,9
173,66,91,40,28,78,53,3,2,52,77,60,35,85,47,98,22,73,7,58,32
174,27,40,90,65,14,21,71,96,46,33,83,45,95,20,70,26,76,1,51,13
175,84,59,8,11,62,87,36,49,100,74,64,39,89,42,92,17,67,4,54,29
176,24,18,68,93,43,30,81,55,5,3,80,23,73,48,99,35,86,10,61,34
177,54,79,29,41,92,66,16,22,73,98,84,9,59,21,72,46,97,2,53,28
178,47,35,85,60,10,6,57,82,32,44,78,40,91,15,65,18,69,43,94,31
179,95,70,19,13,63,89,38,25,76,51,81,5,56,50,100,24,75,12,62,37
180,0,0,50,76,25,38,88,63,13,19,88,37,88,12,62,25,75,50,100,6
181,69,95,44,32,82,57,6,9,60,85,56,31,81,44,94,18,69,15,66,40
182,35,47,98,73,22,16,66,91,41,28,91,28,78,3,53,47,97,21,72,9
183,79,54,3,5,55,80,30,43,93,68,59,34,85,10,61,36,86,48,99,23
184,17,24,74,99,49,36,87,61,11,8,74,29,80,4,55,17,67,42,92,39
185,58,84,33,46,96,71,20,14,65,90,89,14,64,1,51,26,77,20,70,45
186,39,27,77,52,2,2,53,78,28,40,96,32,83,7,58,22,73,47,98,35
187,91,65,15,21,72,97,46,34,84,59,85,10,60,41,92,16,66,3,54,29
188,9,12,62,88,37,50,100,75,24,18,79,25,76,0,51,13,63,38,89,6
189,69,94,43,31,81,56,5,4,54,80,57,32,82,44,95,19,70,49,100,24
190,29,42,92,67,17,23,73,99,48,35,74,11,62,36,87,18,68,43,93,30
191,86,61,10,7,58,83,32,45,95,70,81,5,55,2,52,27,77,40,90,14
192,20,13,64,89,39,26,76,51,1,0,65,33,84,8,59,21,71,46,96,4
193,51,76,26,38,89,63,13,19,70,95,54,29,79,42,92,16,67,35,86,10
194,45,32,82,57,7,10,60,86,35,48,61,23,73,48,98,45,95,19,70,7
195,98,73,22,16,67,92,41,29,79,54,57,32,83,13,64,38,89,26,76,1
196,4,5,56,81,30,43,93,68,18,24,51,31,81,5,56,18,68,43,94,12
197,75,100,49,37,87,62,11,8,59,84,62,37,87,49,100,24,75,21,72,46
198,33,46,97,71,21,15,65,90,40,27,97,34,84,8,59,40,90,15,65,2
199,78,52,2,1,52,77,26,39,89,64,53,27,78,42,93,17,68,4,55,30
200,14,20,71,96,45,33,83,58,7,11,80,23,74,49,99,36,87,11,61,8
201,61,86,36,48,99,74,23,17,67,93,58,33,83,46,96,20,71,27,77,1
202,42,30,80,55,4,3,53,78,28,41,52,14,64,39,90,16,66,41,91,28
203,91,66,15,22,72,97,47,34,85,60,79,3,53,47,98,22,72,9,60,34
204,9,6,56,82,31,44,94,69,18,12,85,31,82,6,57,19,69,44,94,0
205,63,88,37,25,75,50,0,0,50,75,50,25,75,38,88,12,63,31,82,6
206,25,37,88,63,12,19,69,94,44,31,56,19,69,44,94,0,50,25,75,38
207,82,56,6,9,60,85,34,47,97,72,88,12,63,15,66,41,91,28,79,3
208,22,15,66,91,41,28,78,53,3,4,53,47,97,22,72,9,60,34,85,8
209,55,80,30,42,93,67,17,23,74,99,58,33,83,45,96,20,71,26,77,1
210,48,36,86,61,11,7,58,83,33,45,52,14,64,39,90,42,93,17,67,4
211,96,71,20,14,64,90,39,26,77,52,55,30,80,23,74,49,99,36,86,11
212,1,2,52,78,27,40,90,65,15,21,61,21,71,46,97,34,84,8,59,40
213,71,97,46,34,84,59,8,11,62,87,90,15,65,2,52,27,78,30,81,5
214,37,49,100,75,24,18,68,93,43,30,56,18,68,43,94,11,62,37,87,49
215,81,56,5,4,54,79,29,41,92,67,100,24,75,45,95,19,70,7,57,32
216,16,22,73,98,48,35,86,60,10,7,82,13,64,38,89,26,76,0,51,4
217,57,82,32,45,95,70,19,13,63,89,54,29,79,41,92,16,67,35,86,10
218,38,26,76,51,0,1,51,77,26,39,60,23,73,48,98,2,52,27,77,39
219,89,64,13,20,70,95,45,32,83,58,90,14,65,33,84,8,58,21,71,46
220,7,10,61,86,35,48,99,73,23,17,96,49,99,24,74,11,62,36,87,17
221,67,92,42,29,80,54,4,6,56,81,68,43,93,30,80,5,55,25,76,0
222,31,43,94,69,18,24,75,100,50,37,51,13,63,38,88,6,57,32,82,44
223,88,62,12,9,59,84,34,47,97,72,95,19,69,22,73,47,98,35,85,9
224,21,15,65,91,40,28,78,53,2,2,60,41,92,16,66,3,54,28,79,39
225,52,77,27,39,90,65,14,20,71,96,89,13,64,1,51,26,77,20,70,45
226,46,33,84,58,8,11,62,87,36,49,95,32,83,7,58,10,61,36,86,48
227,99,74,24,17,68,93,43,30,80,55,99,23,73,29,80,4,54,17,67,42
228,5,3,54,79,28,41,91,66,16,22,92,15,66,40,91,28,78,2,53,47
229,73,98,47,35,85,60,9,6,57,82,97,21,72,9,59,34,84,37,88,12
230,32,44,95,69,19,13,63,88,38,25,62,24,75,50,100,6,56,31,81,43
231,76,50,0,0,51,76,25,38,89,63,94,18,69,18,69,44,94,31,81,6
232,13,19,70,95,44,32,82,57,6,10,56,50,100,25,75,12,63,37,88,34
233,60,85,35,48,98,73,22,16,66,92,85,9,59,22,72,47,97,3,53,28
234,41,29,79,54,3,5,55,81,30,43,78,40,91,15,66,42,93,17,67,4
235,93,68,18,24,74,100,49,36,87,62,55,29,80,23,74,48,99,36,86,10
236,11,8,59,84,33,46,96,71,21,14,61,7,58,33,83,45,96,20,70,26
237,65,90,40,27,77,52,2,3,53,78,77,1,52,14,64,39,89,29,79,3
238,28,40,91,66,15,21,72,97,47,34,54,16,66,41,92,10,60,35,85,48
239,85,59,9,12,62,88,37,50,100,75,98,22,73,19,70,44,95,32,82,7
240,25,18,69,94,44,31,81,56,6,4,57,38,89,13,63,0,51,25,76,5
241,55,80,29,42,92,67,17,23,74,99,55,30,81,43,93,18,68,37,87,11
242,48,36,86,61,10,7,58,83,33,45,62,24,74,49,100,46,96,21,71,8
243,96,70,20,14,64,89,39,26,77,51,59,33,84,14,65,40,90,27,78,2
244,1,1,51,76,26,38,89,64,13,20,52,48,98,23,73,10,61,35,86,16
245,70,95,45,32,83,57,7,10,61,86,67,42,92,29,80,4,54,1,51,26
246,35,48,98,73,23,16,67,92,42,29,76,38,89,13,64,32,83,7,57,20
247,79,54,4,5,56,81,31,43,94,68,70,45,95,24,75,50,100,37,87,12
248,18,24,75,100,49,37,87,62,12,8,62,43,94,18,68,5,56,31,81,27
249,59,84,34,46,97,72,21,15,65,91,78,2,53,15,65,40,91,9,59,34
250,40,27,78,53,2,1,52,77,27,39,84,46,97,21,72,11,61,36,87,49
251,90,64,14,20,71,96,46,33,83,58,99,23,74,30,80,5,55,17,68,42
252,8,11,61,87,36,49,99,74,23,17,93,39,90,14,65,1,52,27,77,20
253,68,93,42,30,80,55,5,3,53,79,71,46,96,33,83,8,58,35,85,9
254,28,41,91,66,16,22,72,98,47,34,60,22,72,47,98,3,53,28,79,41
255,85,60,9,6,57,82,31,44,94,69,91,16,66,12,63,38,88,25,76,0
256,19,12,63,88,38,25,76,50,0,0,50,44,94,19,69,6,57,31,82,6
257,50,76,25,38,88,63,13,19,69,95,56,31,82,44,94,18,69,25,75,0
258,44,31,82,57,6,9,60,85,35,47,50,12,63,37,88,41,91,15,66,3
259,98,72,22,16,66,91,41,28,79,54,53,28,78,22,72,47,97,34,85,9
260,3,5,55,80,30,42,93,68,17,24,59,33,83,7,58,20,71,45,96,1
261,74,99,49,36,87,61,11,8,58,84,52,26,77,39,89,14,64,17,67,42
262,33,46,96,71,20,14,65,90,39,27,93,30,80,4,55,48,99,23,74,11
263,77,52,1,2,53,78,27,40,91,65,61,36,86,46,97,21,71,8,59,33
264,15,21,72,97,46,34,84,59,9,12,84,15,65,40,90,27,78,2,52,5
265,62,87,37,50,100,75,24,18,69,94,56,30,81,43,93,18,68,37,87,11
266,43,31,81,56,5,4,54,80,29,42,62,24,74,49,100,19,70,45,95,32
267,92,67,16,23,73,98,48,35,86,61,82,7,57,38,89,13,63,0,51,26
268,10,7,57,83,32,45,95,70,20,13,76,29,79,3,54,16,67,41,92,10
269,64,89,39,26,76,51,1,1,52,77,60,35,86,48,98,22,73,27,77,2
270,26,39,89,64,14,20,70,96,45,33,52,14,65,39,90,8,58,33,84,46
271,83,58,7,11,61,86,36,48,99,74,96,20,71,24,74,49,99,36,87,11
272,23,17,67,93,42,29,80,55,4,6,61,43,93,17,68,5,55,30,80,0
273,56,82,31,44,94,69,18,25,75,100,50,25,76,38,88,13,63,31,82,6
274,50,37,88,63,12,9,59,85,34,47,57,19,69,44,95,47,98,22,73,9
275,97,72,22,15,66,91,41,28,78,53,60,35,85,16,66,41,91,28,79,3
276,3,2,52,78,27,40,90,65,14,21,54,13,64,39,89,26,76,1,51,45
277,71,97,46,33,84,59,8,11,62,87,95,20,70,7,58,32,83,35,86,10
278,37,49,100,74,24,18,68,93,43,30,61,23,73,48,99,4,54,29,80,42
279,81,55,5,3,54,79,29,41,92,67,92,16,67,40,91,15,65,2,53,28
280,16,22,73,98,48,35,85,60,10,7,78,21,72,46,97,34,84,9,59,12
281,57,82,32,44,95,70,19,13,63,89,62,37,87,50,100,24,75,31,81,5
282,38,26,76,51,0,0,51,76,25,38,56,18,69,43,94,44,94,18,69,6
283,88,63,13,19,70,95,44,32,82,57,56,31,81,25,75,50,100,37,88,12
284,6,10,60,85,35,47,98,73,22,16,62,9,59,34,85,47,97,21,72,28
285,66,92,41,28,79,54,3,5,55,81,78,2,53,15,66,40,91,17,67,42
286,30,43,93,68,17,24,74,99,49,36,92,29,80,4,55,48,99,23,73,10
287,87,62,11,8,58,84,33,46,96,71,61,36,86,32,83,7,58,20,70,45
288,21,14,65,90,40,27,77,52,2,2,96,1,51,26,77,39,89,14,64,3
289,53,78,28,40,91,66,15,21,72,97,54,29,79,41,92,16,66,35,85,10
290,47,34,84,59,9,12,62,88,37,50,60,22,73,47,98,44,95,19,70,6
291,100,75,25,18,69,94,43,31,81,56,57,32,82,13,63,38,88,25,76,0
292,6,4,55,80,29,42,92,67,17,23,51,30,81,5,55,17,68,43,93,11
293,73,99,48,36,86,61,10,7,58,83,62,36,87,49,100,24,74,21,71,46
294,32,45,96,70,20,13,64,89,39,26,96,33,84,8,59,40,90,14,65,2
295,77,51,1,0,51,76,26,38,89,64,52,27,77,23,73,48,98,35,86,10
296,13,19,70,95,45,32,83,57,7,10,60,42,92,16,67,4,54,29,79,26
297,60,86,35,48,98,73,23,16,67,92,76,1,51,13,64,38,89,7,57,32
298,41,29,79,54,4,5,56,81,30,43,83,45,95,19,70,49,100,24,75,12
299,94,68,18,24,75,100,49,37,87,62,62,37,87,18,68,43,94,30,81,5
300,12,8,59,84,34,46,97,71,21,15,56,2,53,27,78,40,90,15,65,34
301,65,90,40,27,78,53,2,1,52,77,84,8,59,21,72,46,97,36,87,11
302,27,39,90,64,14,20,71,96,45,33,61,23,74,49,99,4,55,30,80,42
303,83,58,8,11,61,86,36,49,99,74,93,17,68,14,64,39,90,27,77,1
304,23,17,68,93,42,30,80,55,4,3,52,45,96,20,71,8,58,33,83,9
305,53,79,28,41,91,66,15,22,72,98,60,34,85,47,98,22,72,28,79,3
306,47,34,85,60,9,6,56,82,31,44,53,16,66,41,91,38,88,12,63,0
307,94,69,19,12,63,88,38,25,75,50,50,25,75,19,69,44,94,31,82,6
308,0,0,50,75,25,38,88,63,12,19,57,19,69,44,94,31,82,6,56,37
309,69,94,44,31,82,56,6,9,60,85,88,12,63,0,50,25,75,28,78,3
310,34,47,97,72,22,15,66,91,41,28,53,15,66,41,91,9,60,34,85,47
311,79,53,3,4,55,80,30,42,93,67,97,22,72,45,96,20,71,7,58,33
312,17,23,74,99,49,36,86,61,11,8,83,14,64,39,90,26,77,1,52,4
313,58,83,33,45,96,71,20,14,64,90,55,30,80,42,93,17,67,36,86,11
314,39,26,77,52,1,2,52,78,27,40,61,23,74,48,99,34,84,8,59,21
315,90,65,15,21,71,97,46,34,84,59,71,46,97,2,52,27,78,40,90,15
316,8,11,62,87,37,49,100,75,24,18,65,18,68,43,93,30,81,5,56,49
317,68,94,43,30,81,56,5,4,54,79,100,24,75,11,62,37,87,7,57,32
318,29,41,92,67,16,23,73,98,48,35,82,45,95,19,70,26,76,0,51,13
319,86,60,10,7,57,82,32,45,95,70,63,38,89,41,92,16,67,4,54,29
320,19,13,64,89,38,26,76,51,0,1,79,22,73,48,98,35,86,10,60,39
321,51,77,26,39,89,64,13,20,70,95,90,14,65,2,52,27,77,20,71,46
322,45,32,83,58,7,10,61,86,36,48,96,33,84,8,58,11,62,36,87,49
323,99,73,23,17,67,92,42,29,80,54,99,24,74,30,80,5,55,17,68,43
324,4,6,56,81,31,43,94,69,18,24,93,13,63,38,88,25,76,0,50,44
325,75,100,50,37,88,62,12,9,59,84,95,19,69,6,57,32,82,35,85,9
326,34,47,97,72,21,15,66,91,40,28,60,22,73,47,98,3,54,28,79,41
327,78,53,2,2,52,77,27,39,90,65,91,16,66,1,51,26,77,39,89,13
328,14,21,71,96,46,33,84,58,8,11,64,32,83,7,58,20,70,45,95,48
329,62,87,36,49,99,74,24,17,68,93,99,23,73,10,61,35,86,17,67,42
